Country,Code,voiceAcc,politicalSta,govEff,regQua,ruleLaw,controlCor,Capacity,Hydropower,Wind,Solar,Bioenergy,1000ha,,CapacityArea
Malawi,MWI,-0.03,-0.27,-0.67,-0.75,-0.37,-0.65,374,351,,11,12,"9,428",0.03966907085,3.966907085
Zambia,ZMB,-0.34,0.11,-0.62,-0.47,-0.33,-0.54,2435,2388,,4,43,"74,339",0.03275535049,3.275535049
Kenya,KEN,-0.20,-1.08,-0.31,-0.23,-0.41,-0.96,1642,828,26,28,88,"56,914",0.02885054644,2.885054644
Mozambique,MOZ,-0.42,-0.98,-0.89,-0.73,-1.01,-0.86,2233,2204,,15,14,"78,638",0.02839594089,2.839594089
Côte d'Ivoire,CIV,-0.27,-1.09,-0.74,-0.36,-0.63,-0.52,879,879,,,,"31,800",0.02764150943,2.764150943
Lesotho,LSO,0.04,-0.25,-0.85,-0.32,-0.27,-0.03,75,75,,0,,"3,036",0.02470355731,2.470355731
Zimbabwe,ZWE,-1.20,-0.77,-1.19,-1.56,-1.38,-1.27,888,781,,7,100,"38,685",0.02295463358,2.295463358
Nigeria,NGA,-0.34,-1.94,-0.96,-0.89,-0.87,-1.07,2064,2042,3,19,,"91,077",0.02266214302,2.266214302
Angola,AGO,-1.10,-0.29,-1.03,-1.04,-1.10,-1.41,2800,2736,,13,51,"124,670",0.02245929253,2.245929253
São Tomé and Principe,STP,0.33,0.22,-0.77,-0.83,-0.68,0.14,2,2,,0,,96,0.02083333333,2.083333333
Burundi,BDI,-1.57,-1.97,-1.34,-0.84,-1.40,-1.28,50,47,,3,,"2,568",0.01947040498,1.947040498
Cameroon,CMR,-1.05,-1.08,-0.82,-0.82,-1.02,-1.18,741,732,,9,,"47,271",0.01567557276,1.567557276
Guinea,GIN,-0.74,-0.61,-1.04,-0.84,-1.23,-1.01,370,368,,2,,"24,572",0.01505778935,1.505778935
Togo,TGO,-0.62,-0.74,-1.13,-0.79,-0.71,-0.71,70,67,,2,,"5,439",0.01287001287,1.287001287
Gabon,GAB,-1.05,-0.09,-0.94,-0.79,-0.68,-0.81,330,330,,,,"25,767",0.01280707882,1.280707882
Sierra Leone,SLE,-0.21,0.03,-1.21,-0.92,-0.79,-0.59,92,60,,0,32,"7,218",0.012745913,1.2745913
"Congo, Dem. Rep.",ZAR,-1.44,-2.30,-1.63,-1.47,-1.69,-1.42,2687,2687,,,,"226,705",0.01185240731,1.185240731
Sudan,SDN,-1.83,-2.01,-1.41,-1.56,-1.11,-1.54,2131,1928,,13,190,"188,602",0.01129892578,1.129892578
Senegal,SEN,0.32,-0.04,-0.32,-0.15,-0.15,-0.09,185,75,,85,25,"19,253",0.009608892121,0.9608892121
Liberia,LBR,-0.02,-0.41,-1.37,-0.95,-0.97,-0.69,92,92,,,,"9,632",0.009551495017,0.9551495017
Tanzania,TZA,-0.29,-0.58,-0.63,-0.58,-0.45,-0.48,659,577,,11,70,"88,580",0.007439602619,0.7439602619
"Congo, Rep.",COG,-1.12,-0.53,-1.19,-1.33,-1.10,-1.33,214,214,,0,,"34,150",0.006266471449,0.6266471449
Comoros,COM,-0.30,0.03,-1.57,-1.04,-1.05,-0.68,1,,,,,186,0.005373455132,0.5373455132
Namibia,NAM,0.55,0.65,0.20,-0.19,0.24,0.32,391,347,6,37,0,"82,329",0.004749237814,0.4749237814
Madagascar,MDG,-0.34,-0.33,-1.14,-0.69,-0.86,-1.05,177,164,0,13,0,"58,180",0.003042282571,0.3042282571
Burkina Faso,BFA,0.06,-0.92,-0.59,-0.44,-0.40,-0.11,76,32,,44,0,"27,360",0.002777777778,0.2777777778
Mauritania,MRT,-0.80,-0.62,-0.72,-0.78,-0.60,-0.75,167,48,34,85,,"103,070",0.001620258077,0.1620258077
Mali,MLI,-0.26,-1.91,-0.94,-0.57,-0.78,-0.63,190,184,,6,,"122,019",0.001557134545,0.1557134545
Benin,BEN,0.38,0.05,-0.64,-0.47,-0.62,-0.55,6,1,,5,,"11,276",0.0005321035828,0.05321035828
Central African Republic,CAF,-1.11,-1.94,-1.77,-1.48,-1.73,-1.17,19,,,0,,"62,298",0.0003049857138,0.03049857138
Eritrea,ERI,-2.17,-0.66,-1.73,-2.20,-1.56,-1.20,1,,1,,,"10,100",0.00009900990099,0.009900990099
Somalia,SOM,-1.78,-2.33,-2.21,-2.29,-2.31,-1.72,6,,4,2,,"62,734",0.00009564191666,0.009564191666
Niger,NER,-0.41,-1.30,-0.67,-0.68,-0.68,-0.65,9,,,9,,"126,670",0.00007105076182,0.007105076182
Botswana,BWA,0.38,1.03,0.43,0.46,0.51,0.80,3,,,3,,"56,673",0.00005293526018,0.005293526018
Chad,TCD,-1.37,-1.34,-1.46,-1.21,-1.30,-1.43,1,,1,,,"125,920",0.000007941550191,0.0007941550191
Djibouti,DJI,-1.41,-0.71,-1.03,-0.64,-0.91,-0.64,0,,,0,,"2,318",0,0
"Gambia, The",GMB,-0.65,-0.21,-0.65,-0.45,-0.45,-0.66,,,,,,"1,012",0,0
Guinea-Bissau,GNB,-0.80,-0.60,-1.77,-1.18,-1.44,-1.56,0,,,0,,"2,812",0,0
South Sudan,SSD,-1.82,-2.46,-2.48,-1.94,-1.94,-1.71,0,,,0,,"61,975",0,0
